,level_0,index,close,high,low,open,s,t,v
136,13,2018-07-11 15:00:00,6310.0,6345.0,6277.0,6341.0,ok,1531288800.0,156036812.0
137,12,2018-07-11 14:00:00,6341.0,6350.5,6287.0,6350.5,ok,1531285200.0,145969920.0
138,11,2018-07-11 13:00:00,6350.5,6358.0,6327.0,6343.0,ok,1531281600.0,58077126.0
139,10,2018-07-11 12:00:00,6343.0,6370.0,6335.0,6367.0,ok,1531278000.0,49752983.0
140,9,2018-07-11 11:00:00,6367.0,6373.5,6360.0,6368.0,ok,1531274400.0,26493796.0
141,8,2018-07-11 10:00:00,6368.0,6391.0,6361.0,6381.5,ok,1531270800.0,57739801.0
142,7,2018-07-11 09:00:00,6381.5,6399.5,6282.5,6304.0,ok,1531267200.0,220097458.0
143,6,2018-07-11 08:00:00,6304.0,6365.5,6260.0,6362.0,ok,1531263600.0,246043539.0
144,5,2018-07-11 07:00:00,6362.0,6379.0,6356.5,6370.0,ok,1531260000.0,43281791.0
145,4,2018-07-11 06:00:00,6370.0,6397.0,6370.0,6381.0,ok,1531256400.0,51853295.0
146,3,2018-07-11 05:00:00,6381.0,6390.5,6369.5,6369.5,ok,1531252800.0,49415565.0
147,2,2018-07-11 04:00:00,6369.5,6370.0,6356.5,6369.0,ok,1531249200.0,28708647.0
148,1,2018-07-11 03:00:00,6369.0,6379.5,6362.5,6366.5,ok,1531245600.0,33880546.0
149,0,2018-07-11 02:00:00,6366.5,6371.0,6340.0,6353.5,ok,1531242000.0,60663525.0
150,49,2018-07-11 01:00:00,6353.5,6399.5,6321.0,6379.5,ok,1531238400.0,108210173.0
151,48,2018-07-11 00:00:00,6379.5,6382.0,6362.0,6379.0,ok,1531234800.0,46681100.0
152,47,2018-07-10 23:00:00,6379.0,6386.0,6340.5,6382.0,ok,1531231200.0,110092621.0
153,46,2018-07-10 22:00:00,6382.0,6396.0,6356.0,6365.0,ok,1531227600.0,120069734.0
154,45,2018-07-10 21:00:00,6365.0,6375.0,6315.5,6360.5,ok,1531224000.0,160800512.0
155,44,2018-07-10 20:00:00,6360.5,6472.5,6310.5,6471.5,ok,1531220400.0,309544886.0
156,43,2018-07-10 19:00:00,6471.5,6476.5,6430.0,6448.0,ok,1531216800.0,192430380.0
157,42,2018-07-10 18:00:00,6448.0,6595.5,6430.0,6595.0,ok,1531213200.0,425157377.0
158,41,2018-07-10 17:00:00,6595.0,6614.0,6582.0,6604.0,ok,1531209600.0,62433118.0
159,40,2018-07-10 16:00:00,6604.0,6608.5,6591.0,6605.0,ok,1531206000.0,52557274.0
160,39,2018-07-10 15:00:00,6605.0,6629.5,6562.0,6629.5,ok,1531202400.0,230037211.0
161,38,2018-07-10 14:00:00,6629.5,6648.5,6619.5,6646.0,ok,1531198800.0,83419058.0
162,37,2018-07-10 13:00:00,6646.0,6652.0,6631.0,6639.5,ok,1531195200.0,44448295.0
163,36,2018-07-10 12:00:00,6639.5,6653.5,6632.5,6636.0,ok,1531191600.0,44865139.0
164,35,2018-07-10 11:00:00,6636.0,6661.0,6629.5,6657.0,ok,1531188000.0,90330350.0
165,34,2018-07-10 10:00:00,6657.0,6673.0,6656.5,6664.0,ok,1531184400.0,37561470.0
166,33,2018-07-10 09:00:00,6664.0,6678.0,6645.0,6668.0,ok,1531180800.0,73092185.0
167,32,2018-07-10 08:00:00,6668.0,6703.5,6626.0,6701.0,ok,1531177200.0,188908301.0
168,31,2018-07-10 07:00:00,6701.0,6841.0,6668.0,6729.5,ok,1531173600.0,275354294.0
169,30,2018-07-10 06:00:00,6729.5,6745.0,6692.0,6695.0,ok,1531170000.0,54666294.0
170,29,2018-07-10 05:00:00,6695.0,6710.5,6695.0,6710.5,ok,1531166400.0,27220391.0
171,28,2018-07-10 04:00:00,6710.5,6719.5,6701.0,6701.0,ok,1531162800.0,25432245.0
172,27,2018-07-10 03:00:00,6701.0,6708.0,6686.5,6696.0,ok,1531159200.0,47169528.0
173,26,2018-07-10 02:00:00,6696.0,6708.0,6668.0,6707.5,ok,1531155600.0,72119746.0
174,25,2018-07-10 01:00:00,6707.5,6720.5,6660.0,6720.5,ok,1531152000.0,130860173.0
175,24,2018-07-10 00:00:00,6720.5,6727.0,6717.5,6720.5,ok,1531148400.0,29578069.0
176,23,2018-07-09 23:00:00,6720.5,6728.0,6712.0,6721.5,ok,1531144800.0,40739831.0
177,22,2018-07-09 22:00:00,6721.5,6739.0,6710.0,6710.0,ok,1531141200.0,68345878.0
178,21,2018-07-09 21:00:00,6710.0,6718.0,6702.5,6714.0,ok,1531137600.0,42503914.0
179,20,2018-07-09 20:00:00,6714.0,6758.5,6688.0,6688.0,ok,1531134000.0,108934679.0
180,19,2018-07-09 19:00:00,6688.0,6697.0,6678.5,6685.0,ok,1531130400.0,45994221.0
181,18,2018-07-09 18:00:00,6685.0,6715.5,6652.5,6715.5,ok,1531126800.0,163939305.0
182,17,2018-07-09 17:00:00,6715.5,6719.5,6713.0,6719.0,ok,1531123200.0,37848718.0
183,16,2018-07-09 16:00:00,6719.0,6748.0,6704.0,6705.5,ok,1531119600.0,65636229.0
184,15,2018-07-09 15:00:00,6705.5,6709.5,6702.0,6702.5,ok,1531116000.0,22964537.0
185,14,2018-07-09 14:00:00,6702.5,6702.5,6694.0,6701.5,ok,1531112400.0,26549897.0
186,13,2018-07-09 13:00:00,6701.5,6709.5,6701.5,6709.5,ok,1531108800.0,14724403.0
187,12,2018-07-09 12:00:00,6709.5,6715.5,6699.0,6699.0,ok,1531105200.0,28789519.0
188,11,2018-07-09 11:00:00,6699.0,6704.5,6694.0,6704.5,ok,1531101600.0,33469335.0
189,10,2018-07-09 10:00:00,6704.5,6713.5,6691.0,6713.5,ok,1531098000.0,50078826.0
190,9,2018-07-09 09:00:00,6713.5,6724.0,6685.0,6701.0,ok,1531094400.0,62990974.0
191,8,2018-07-09 08:00:00,6701.0,6744.0,6670.0,6744.0,ok,1531090800.0,192773666.0
